chain_id,day,user_id,length,score_mean,score_min
36321,1,4659638,2,0.6583,0.6583
36322,0,244281,2,0.9069,0.9069
36322,1,1539261,2,0.9069,0.9069
36323,0,1030714,2,0.6687,0.6687
36323,1,2036571,2,0.6687,0.6687
36324,0,1030715,2,0.6533,0.6533
36324,1,1819304,2,0.6533,0.6533
36325,0,1030713,2,0.6784,0.6784
36325,1,1673417,2,0.6784,0.6784
36326,0,899645,2,0.7991,0.7991
36326,1,2011187,2,0.7991,0.7991
36327,0,375360,2,0.9014,0.9014
36327,1,1452218,2,0.9014,0.9014
36328,0,244298,2,0.9561,0.9561
36328,1,3783295,2,0.9561,0.9561
36329,0,899661,2,0.8011,0.8011
36329,1,3669414,2,0.8011,0.8011
36330,0,1686100,2,0.6502,0.6502
36330,1,3530452,2,0.6502,0.6502
36331,0,637524,2,0.8492,0.8492
36331,1,3066422,2,0.8492,0.8492
36332,0,1161817,2,0.8667,0.8667
36332,1,4382978,2,0.8667,0.8667
36333,0,1292890,2,0.7058,0.7058
36333,1,1987353,2,0.7058,0.7058
36334,0,1161819,2,0.7743,0.7743
36334,1,3812234,2,0.7743,0.7743
36335,0,1555036,2,0.6557,0.6557
36335,1,1887140,2,0.6557,0.6557
36336,0,375390,2,0.8979,0.8979
36336,1,1914405,2,0.8979,0.8979
36337,0,244320,2,0.9167,0.9167
36337,1,1732787,2,0.9167,0.9167
36338,0,506467,2,0.8,0.8
36338,1,1429251,2,0.8,0.8
36339,0,113253,2,0.8937,0.8937
36339,1,3300587,2,0.8937,0.8937
36340,0,2079337,2,0.6638,0.6638
36340,1,4440276,2,0.6638,0.6638
36341,0,1423978,2,0.663,0.663
36341,1,4745721,2,0.663,0.663
36342,0,768625,2,0.975,0.975
36342,1,2096870,2,0.975,0.975
36343,0,244342,2,0.7682,0.7682
36343,1,4035552,2,0.7682,0.7682
36344,0,1030783,2,0.683,0.683
36344,1,5143014,2,0.683,0.683
36345,0,375424,2,0.924,0.924
36345,1,3145888,2,0.924,0.924
36346,0,244355,2,0.9155,0.9155
36346,1,1989703,2,0.9155,0.9155
36347,0,1555075,2,0.651,0.651
36347,1,4255146,2,0.651,0.651
36348,0,1030792,2,0.825,0.825
36348,1,4562318,2,0.825,0.825
36349,0,1424015,2,0.6556,0.6556
36349,1,1972078,2,0.6556,0.6556
36350,0,506512,2,0.7,0.7
36350,1,1860470,2,0.7,0.7
36351,0,1817233,2,0.65,0.65
36351,1,4839588,2,0.65,0.65
36352,0,1424017,2,0.65,0.65
36352,1,4381018,2,0.65,0.65
36353,0,768659,2,0.8262,0.8262
36353,1,4777066,2,0.8262,0.8262
36354,0,899733,2,0.6677,0.6677
36354,1,1570287,2,0.6677,0.6677
36355,0,113304,2,0.875,0.875
36355,1,1498272,2,0.875,0.875
36356,0,1555099,2,0.675,0.675
36356,1,4241900,2,0.675,0.675
36357,0,768669,2,0.9149,0.9149
36357,1,1936636,2,0.9149,0.9149
36358,0,375455,2,0.8707,0.8707
36358,1,1926298,2,0.8707,0.8707
36359,0,637605,2,0.8167,0.8167
36359,1,1481075,2,0.8167,0.8167
36360,0,506534,2,0.831,0.831
36360,1,3849048,2,0.831,0.831
36361,0,244391,2,0.8333,0.8333
36361,1,3965393,2,0.8333,0.8333
36362,0,113327,2,0.9467,0.9467
36362,1,6790525,2,0.9467,0.9467
36363,0,375479,2,0.8986,0.8986
36363,1,1396761,2,0.8986,0.8986
36364,0,899768,2,0.704,0.704
36364,1,3525097,2,0.704,0.704
36365,0,1948343,2,0.65,0.65
36365,1,2279475,2,0.65,0.65
36366,0,768697,2,0.8415,0.8415
36366,1,4182165,2,0.8415,0.8415
36367,0,113337,2,0.8989,0.8989
36367,1,3881910,2,0.8989,0.8989
36368,0,4438718,2,0.6942,0.6942
36368,1,4526308,2,0.6942,0.6942
36369,0,768702,2,0.9234,0.9234
36369,1,1937294,2,0.9234,0.9234
36370,0,506561,2,0.9594,0.9594
36370,1,1496935,2,0.9594,0.9594
36371,0,1424065,2,0.7315,0.7315
36371,1,4087502,2,0.7315,0.7315
36372,0,1030849,2,0.6658,0.6658
36372,1,2094174,2,0.6658,0.6658
36373,0,1161926,2,0.6525,0.6525
36373,1,2017270,2,0.6525,0.6525
36374,0,244427,2,0.9083,0.9083
36374,1,2062202,2,0.9083,0.9083
36375,0,113355,2,0.8083,0.8083
36375,1,6516812,2,0.8083,0.8083
36376,0,1424075,2,0.6917,0.6917
36376,1,2070008,2,0.6917,0.6917
36377,0,113358,2,0.9557,0.9557
36377,1,1604240,2,0.9557,0.9557
36378,0,2341592,2,0.6833,0.6833
36378,1,4511134,2,0.6833,0.6833
36379,0,1293017,2,0.6856,0.6856
36379,1,4305762,2,0.6856,0.6856
36380,0,637658,2,0.9681,0.9681
36380,1,3807348,2,0.9681,0.9681
36381,0,1686237,2,0.6648,0.6648
36381,1,3885661,2,0.6648,0.6648
36382,0,244447,2,0.9096,0.9096
36382,1,3318641,2,0.9096,0.9096
36383,0,768737,2,0.9518,0.9518
36383,1,3897073,2,0.9518,0.9518
36384,0,768738,2,0.8791,0.8791
36384,1,1438122,2,0.8791,0.8791
36385,0,1161958,2,0.821,0.821
36385,1,1713356,2,0.821,0.821
36386,0,1030887,2,0.6556,0.6556
36386,1,4415834,2,0.6556,0.6556
36387,0,113394,2,0.8722,0.8722
36387,1,1462032,2,0.8722,0.8722
36388,0,113395,2,0.8519,0.8519
36388,1,3712695,2,0.8519,0.8519
36389,0,637684,2,0.825,0.825
36389,1,3854371,2,0.825,0.825
36390,0,1555189,2,0.6839,0.6839
36390,1,2090819,2,0.6839,0.6839
36391,0,1161972,2,0.6951,0.6951
36391,1,4369665,2,0.6951,0.6951
36392,0,244471,2,0.9664,0.9664
36392,1,1880251,2,0.9664,0.9664
36393,0,1293043,2,0.6713,0.6713
36393,1,1572611,2,0.6713,0.6713
36394,0,768762,2,0.9836,0.9836
36394,1,1568037,2,0.9836,0.9836
36395,0,899835,2,0.9654,0.9654
36395,1,4061137,2,0.9654,0.9654
36396,0,506621,2,0.7724,0.7724
36396,1,1700974,2,0.7724,0.7724
36397,0,113411,2,0.9743,0.9743
36397,1,1503105,2,0.9743,0.9743
36398,0,1030917,2,0.6572,0.6572
36398,1,2082247,2,0.6572,0.6572
36399,0,506629,2,0.9612,0.9612
36399,1,1382066,2,0.9612,0.9612
36400,0,637703,2,0.7451,0.7451
