X,Y,cellid,lat,lon,PosXcd_142,PosYcd_142
-849644.874194732,-1011642.02328817,UKVSAD101,50.225710999999997,12.877907000000000,-849645,-1011642
-870963.70415464,-999669.895336398,VSOYRO102,50.301519999999996,12.556004000000000,-870964,-999670
-852461.73702798,-1009462.42989048,BKVDVO4,50.241086000000003,12.834114000000000,-852462,-1009462
-848645.380294143,-1014039.66343977,BKVVIV3,50.205827999999997,12.897002000000001,-848645,-1014040
-860973.274723,-1008368.6612917,USOVIN102,50.238692000000000,12.713868000000000,-860973,-1008369
-857411.181210369,-999779.151515633,VKVYNP104,50.320023999999997,12.744078000000000,-857411,-999779
-843110.835001709,-1002980.87512566,BKVOMA4,50.311807999999999,12.949445000000001,-843111,-1002981
-854107.126377542,-992416.042340744,BKVHBL4,50.390093000000000,12.773536000000000,-854107,-992416
-852461.73702798,-1009462.42989048,UKVDVO204,50.241086000000003,12.834114000000000,-852462,-1009462
-842802.494568172,-1003642.83909827,VKVYOL101,50.306361000000003,12.955169000000000,-842802,-1003643
-852778.801343367,-1010857.69580359,UKVCHE101,50.228248999999998,12.832803000000000,-852779,-1010858
